,zcmb,mb,dmb,errors
466,0.37391,22.11044692993164,0.11369557678699493,0.12709727883338928
467,0.03184,15.45099925994873,0.1474514603614807,0.17662236094474792
468,0.95991,24.69452667236328,0.10386882722377777,0.10961189866065979
469,0.0197,14.78769588470459,0.1613609939813614,0.18992868065834045
470,0.2368,20.942502975463867,0.11829929053783417,0.1347081959247589
471,0.0471,16.642545700073242,0.13553360104560852,0.1623552143573761
472,0.74116,23.96558380126953,0.10657264292240143,0.11466625332832336
473,0.52216,23.235807418823242,0.10927991569042206,0.11972644925117493
474,0.5006,23.16396141052246,0.10954660177230835,0.12022486329078674
475,0.25672,21.1121883392334,0.11763022840023041,0.13360252976417542
476,0.13687,19.561613082885742,0.12377483397722244,0.14364948868751526
477,0.8592,24.358928680419922,0.10511374473571777,0.11193886399269104
478,0.9752,24.745479583740234,0.10367970168590546,0.10925868153572083
479,0.64116,23.632354736328125,0.10780893266201019,0.11697724461555481
480,0.3055,21.5277099609375,0.11599244177341461,0.13089492917060852
481,0.93291,24.60455322265625,0.10420235991477966,0.11023560166358948
482,0.19726,20.52513885498047,0.11994555592536926,0.13742545247077942
483,0.02643,14.838398933410645,0.16029465198516846,0.18891438841819763
484,0.14882,19.75981903076172,0.12298654764890671,0.14237013459205627
485,0.51,23.19528579711914,0.10943017899990082,0.12000754475593567
486,0.2367,20.941650390625,0.1183025985956192,0.1347137987613678
487,0.60392,23.508258819580078,0.10826922953128815,0.11783745884895325
488,0.02559,14.78769588470459,0.1613609939813614,0.18992868065834045
489,0.2406,20.974872589111328,0.11817163228988647,0.13449731469154358
490,0.51491,23.211647033691406,0.10936969518661499,0.11989405751228333
491,0.03984,16.156312942504883,0.13750897347927094,0.16545775532722473
492,0.02275,14.78769588470459,0.1613609939813614,0.18992868065834045
493,0.92591,24.58123016357422,0.1042889654636383,0.11039736866950989
494,0.29353,21.42574691772461,0.1163945198059082,0.13155928254127502
495,0.18931,20.42819595336914,0.12032851576805115,0.13805654644966125
496,0.1599,19.94359588623047,0.12225554883480072,0.14118412137031555
497,0.18516,20.362567901611328,0.12058928608894348,0.13848045468330383
498,0.20368,20.60342788696289,0.1196366399526596,0.13691678643226624
499,0.6192,23.55917739868164,0.10808031260967255,0.11748388409614563
500,0.3618,22.007291793823242,0.1141020804643631,0.12776950001716614
501,0.01382,14.78769588470459,0.1613609939813614,0.18992868065834045
502,0.0288,15.106764793395996,0.1546684354543686,0.18352946639060974
503,0.21938,20.794113159179688,0.11888423562049866,0.1356751024723053
504,0.1206,19.23607635498047,0.12506690621376038,0.14575472474098206
505,0.14703,19.73012924194336,0.12310457229614258,0.14256206154823303
506,0.2145,20.73666763305664,0.11911071836948395,0.1360497772693634
507,0.2534,21.083906173706055,0.11774183809757233,0.13378694653511047
508,0.4607,22.849750518798828,0.11078131198883057,0.12227943539619446
509,0.1727,20.155902862548828,0.1214112937450409,0.13981381058692932
510,0.3312,21.74662971496582,0.1151295155286789,0.12946823239326477
511,0.2411,20.979129791259766,0.11815465986728668,0.1344694197177887
512,0.15317,19.83197021484375,0.12269940227270126,0.14190426468849182
513,0.4399,22.672571182250977,0.11147932708263397,0.12343397736549377
514,0.3018,21.496192932128906,0.11611680686473846,0.13110008835792542
515,0.01972,14.78769588470459,0.1613609939813614,0.18992868065834045
516,0.01697,14.78769588470459,0.1613609939813614,0.18992868065834045
517,0.94791,24.654541015625,0.10401716828346252,0.10988882184028625
518,0.0295,15.186030387878418,0.1530066430568695,0.18193915486335754
519,0.1896,20.431732177734375,0.12031452357769012,0.1380331814289093
520,0.36,21.991958618164062,0.1141624003648758,0.1278691589832306
521,0.12455,19.328399658203125,0.12470096349716187,0.1451566517353058
522,0.8592,24.358928680419922,0.10511374473571777,0.11193886399269104
523,0.1604,19.951889038085938,0.12222254276275635,0.14113059639930725
524,0.02189,14.78769588470459,0.1613609939813614,0.18992868065834045
525,0.1808,20.290250778198242,0.12087692320346832,0.1389470398426056
526,0.11991,19.219951629638672,0.12513089179992676,0.14585939049720764
527,0.18651,20.384960174560547,0.12050025165081024,0.13833585381507874
528,0.5779,23.421554565429688,0.10859090089797974,0.11843910813331604
529,0.2631,21.166534423828125,0.11741617321968079,0.1332482397556305
530,0.14387,19.677719116210938,0.12331298738718033,0.14289966225624084
531,0.57891,23.424917221069336,0.10857824981212616,0.11841526627540588
532,0.71839,23.88970947265625,0.10685424506664276,0.11519280076026917
533,0.3106,21.571155548095703,0.11582118272781372,0.1306115686893463
534,0.2307,20.890541076660156,0.11850415170192719,0.13504698872566223
535,0.68921,23.792470932006836,0.10721512138843536,0.11586657166481018
536,0.02349,14.78769588470459,0.1613609939813614,0.18992868065834045
