num_units1,num_units2,num_units3,num_units4,batch_size,Loss
100.0,150.0,200.0,150.0,1.0,0.029082253575325012
100.0,50.0,150.0,100.0,1.0,0.03035886585712433
100.0,200.0,200.0,150.0,1.0,0.03501291200518608
200.0,150.0,150.0,150.0,4.0,0.035070568323135376
200.0,50.0,50.0,100.0,1.0,0.035110510885715485
200.0,100.0,200.0,50.0,1.0,0.03531540930271149
150.0,50.0,150.0,200.0,1.0,0.0356566496193409
150.0,100.0,200.0,50.0,1.0,0.035864345729351044
100.0,200.0,50.0,200.0,1.0,0.03607172891497612
50.0,100.0,100.0,100.0,4.0,0.03610542044043541
150.0,50.0,100.0,150.0,1.0,0.03637620061635971
200.0,150.0,50.0,150.0,1.0,0.03660064563155174
200.0,200.0,150.0,50.0,1.0,0.037002626806497574
150.0,150.0,50.0,200.0,1.0,0.03700483217835426
50.0,100.0,150.0,50.0,1.0,0.03706427663564682
200.0,200.0,100.0,100.0,1.0,0.03724628686904907
200.0,50.0,200.0,100.0,1.0,0.03746479004621506
50.0,50.0,150.0,150.0,1.0,0.0376528725028038
50.0,150.0,50.0,200.0,1.0,0.03785080835223198
50.0,100.0,200.0,150.0,1.0,0.03801528736948967
100.0,100.0,200.0,200.0,1.0,0.038431812077760696
150.0,50.0,150.0,50.0,4.0,0.038547150790691376
100.0,50.0,200.0,50.0,1.0,0.03858143091201782
150.0,200.0,100.0,200.0,1.0,0.03864062950015068
50.0,50.0,150.0,50.0,1.0,0.038810741156339645
200.0,200.0,200.0,50.0,1.0,0.03883332386612892
200.0,150.0,200.0,100.0,1.0,0.03888189420104027
100.0,50.0,200.0,200.0,4.0,0.03903977945446968
200.0,100.0,150.0,100.0,1.0,0.039248786866664886
100.0,100.0,50.0,100.0,1.0,0.03938590735197067
100.0,50.0,50.0,150.0,4.0,0.03939215466380119
50.0,150.0,100.0,100.0,1.0,0.03939838707447052
200.0,200.0,150.0,150.0,4.0,0.03959482163190842
50.0,50.0,100.0,200.0,8.0,0.039630547165870667
200.0,150.0,200.0,150.0,1.0,0.03971153125166893
200.0,150.0,200.0,200.0,1.0,0.039743050932884216
150.0,50.0,150.0,100.0,1.0,0.03975085914134979
100.0,200.0,200.0,50.0,1.0,0.03978515416383743
100.0,150.0,150.0,200.0,1.0,0.0398857519030571
50.0,50.0,200.0,200.0,4.0,0.03995494917035103
150.0,200.0,200.0,50.0,1.0,0.04007923603057861
100.0,50.0,100.0,100.0,1.0,0.04031927138566971
200.0,150.0,100.0,200.0,1.0,0.04041888564825058
50.0,100.0,100.0,100.0,8.0,0.040604498237371445
50.0,150.0,150.0,150.0,4.0,0.04070280119776726
100.0,150.0,150.0,150.0,1.0,0.04074535146355629
100.0,50.0,100.0,150.0,4.0,0.0408296212553978
50.0,200.0,150.0,150.0,1.0,0.04088111221790314
50.0,200.0,200.0,100.0,1.0,0.04089028388261795
50.0,150.0,200.0,100.0,1.0,0.04094722867012024
50.0,150.0,100.0,200.0,1.0,0.04100335016846657
100.0,200.0,150.0,50.0,1.0,0.04100523144006729
150.0,200.0,100.0,200.0,4.0,0.0413745753467083
150.0,100.0,100.0,200.0,1.0,0.04159698635339737
200.0,200.0,100.0,100.0,4.0,0.04159944877028465
50.0,150.0,200.0,200.0,1.0,0.041690338402986526
100.0,50.0,150.0,150.0,4.0,0.04172287508845329
50.0,50.0,150.0,200.0,1.0,0.04173785820603371
150.0,200.0,50.0,100.0,1.0,0.04177860543131828
50.0,100.0,100.0,50.0,1.0,0.042084161192178726
50.0,50.0,50.0,100.0,1.0,0.04210544750094414
200.0,100.0,150.0,150.0,4.0,0.04212445020675659
150.0,200.0,100.0,50.0,1.0,0.042153894901275635
150.0,200.0,200.0,150.0,1.0,0.042341601103544235
50.0,150.0,200.0,50.0,1.0,0.042510345578193665
100.0,200.0,100.0,200.0,8.0,0.042523566633462906
50.0,100.0,50.0,200.0,1.0,0.04255199059844017
150.0,150.0,100.0,200.0,1.0,0.04257846251130104
100.0,150.0,100.0,100.0,1.0,0.04263564571738243
100.0,200.0,50.0,150.0,4.0,0.04265131801366806
100.0,200.0,50.0,150.0,1.0,0.04269040748476982
100.0,150.0,200.0,100.0,4.0,0.042913515120744705
150.0,200.0,100.0,150.0,1.0,0.042994897812604904
200.0,50.0,150.0,150.0,1.0,0.04304491728544235
150.0,150.0,150.0,200.0,4.0,0.043109335005283356
50.0,50.0,50.0,200.0,4.0,0.04334384202957153
150.0,50.0,100.0,200.0,4.0,0.043430864810943604
200.0,100.0,150.0,200.0,4.0,0.043464720249176025
50.0,150.0,50.0,100.0,1.0,0.0435134693980217
200.0,150.0,50.0,100.0,1.0,0.04353969916701317
100.0,100.0,150.0,150.0,4.0,0.04370710998773575
150.0,150.0,50.0,150.0,1.0,0.04377683252096176
200.0,150.0,200.0,200.0,4.0,0.04387326538562775
150.0,150.0,200.0,150.0,4.0,0.04397755488753319
200.0,100.0,50.0,100.0,1.0,0.04402979835867882
150.0,100.0,200.0,150.0,1.0,0.044072795659303665
50.0,200.0,200.0,150.0,1.0,0.04416852444410324
100.0,200.0,50.0,50.0,1.0,0.04432869702577591
100.0,50.0,100.0,150.0,1.0,0.04445706680417061
150.0,100.0,150.0,100.0,1.0,0.044568561017513275
50.0,50.0,100.0,100.0,4.0,0.04476095363497734
100.0,100.0,150.0,100.0,1.0,0.044838592410087585
200.0,150.0,100.0,150.0,4.0,0.04488502815365791
50.0,50.0,200.0,150.0,1.0,0.044906873255968094
50.0,200.0,50.0,50.0,1.0,0.04514585807919502
150.0,100.0,200.0,100.0,4.0,0.04515133425593376
100.0,150.0,150.0,50.0,8.0,0.04519090801477432
