zcmb,mb,dmb,errors
0.18322,20.2951,0.1284,0.1286389132416781
0.15186,19.7933,0.10325,0.1037815373753925
0.09401,18.889,0.10285,0.1032381833431797
0.28662,21.6827,0.1504,0.150540526105099
0.26349,21.3576,0.14295,0.1430768412427392
0.1431,19.79675,0.1047,0.1050776141716207
0.16035,19.9329,0.1156,0.1161075148300057
0.12303,19.3948,0.11665,0.1169005025652157
0.12608,19.36855,0.113,0.1134087518668643
0.24448,20.86815,0.1298,0.1299873840032177
0.27544,21.37075,0.15505,0.1552089961954525
0.33051,21.9321,0.1589,0.1590231901327602
0.33103,21.82885,0.1481,0.1482337512174606
0.18581,20.48365,0.1298,0.1300041345496365
0.258,21.2775,0.14285,0.1429736951330558
0.26576,21.0609,0.1301,0.1302445392329367
0.3264,21.6733,0.1464,0.1465279324907029
0.37986,22.13745,0.1395,0.1399350920963001
0.25249,21.1678,0.16095,0.1610603070281439
0.17028,20.2489,0.107,0.1075018604490173
0.30569,21.3803,0.19765,0.197744664909069
0.25655,21.2564,0.16145,0.1615603525002344
0.10264,19.16175,0.1443,0.144599619639887
0.1618,20.1359,0.1299,0.130369743422314
0.21513,21.20185,0.1483,0.1485773367643935
0.14478,19.8106,0.13965,0.1399322782634514
0.13243,19.9293,0.1333,0.1336146698532762
0.17789,20.20345,0.1224,0.1228414628698307
0.11845,19.44875,0.1339,0.1340696460799386
0.17653,20.2397,0.106,0.1065018779177156
0.30632,21.77705,0.16135,0.1614648800823262
0.21054,20.6402,0.1335,0.1338764168925953
0.22068,20.81795,0.15445,0.1546709976045929
0.17706,20.33625,0.12905,0.1294667621438027
0.24973,21.1676,0.1247,0.1248527332500174
0.20318,20.64385,0.12035,0.120730246831521
0.1958,20.5286,0.1151,0.1153508127409599
0.24973,21.0769,0.14445,0.1445824245888828
0.15596,19.98785,0.12595,0.1263772625910215
0.24857,21.1261,0.1388,0.1389448091869574
0.18079,20.37965,0.13765,0.1379039792754364
0.13811,19.66285,0.10475,0.1051205141730195
0.24555,20.7198,0.14705,0.1472114210922508
0.27749,21.8807,0.2055,0.2056218252034545
0.19867,20.61015,0.13895,0.1391891967790604
0.15999,20.07605,0.129,0.129451786391691
0.21075,21.0136,0.15075,0.1510796561420497
0.09391,18.94955,0.14945,0.1497164236147791
0.21226,20.80065,0.1303,0.1306519996019961
0.2454,20.88445,0.13085,0.1310253124400014
0.12837,19.5616,0.132,0.1324440259128361
0.12262,19.44025,0.1033,0.1035831067307792
0.12715,19.59325,0.10365,0.1041416943399712
0.21323,20.67635,0.1429,0.143210072969746
0.26856,21.4883,0.15275,0.152880827771176
0.24185,20.98075,0.15175,0.1519495557742766
0.35346,21.81675,0.1515,0.1516711409596433
0.28543,21.60225,0.15435,0.1544887455447807
0.21955,20.6719,0.1534,0.1536296195399832
0.17558,20.24765,0.1249,0.1253189331266429
0.29135,21.51945,0.1501,0.1502382940531474
0.20557,20.73155,0.1351,0.1354974354000842
0.24558,21.1159,0.14105,0.1412179786712726
0.31468,21.3618,0.137,0.1371322172211913
0.30041,21.4204,0.15885,0.1589788743827304
0.29021,21.3714,0.15315,0.1532854282050319
0.22786,20.83435,0.15045,0.1506273796492523
0.31065,21.45975,0.15795,0.1580640297474412
0.08784,18.6796,0.1066,0.1070004439243127
0.12903,19.58985,0.12795,0.1283716382227787
0.19422,20.61715,0.12925,0.1294722460606905
0.21179,21.14485,0.1818,0.1820612396969766
0.3388,21.7897,0.1618,0.1619617701804966
0.11741,19.41925,0.10595,0.1061616573909808
0.26405,21.2679,0.15695,0.1570664588637561
0.24961,21.38165,0.1409,0.1410364137377294
0.36193,22.1744,0.1645,0.1647477920944617
0.30021,21.62535,0.16525,0.1653738416437134
0.11635,19.38465,0.1036,0.1038192178741489
0.25037,21.2982,0.13225,0.1323911722887897
0.25174,21.209,0.1266,0.126741942544684
0.30929,21.72385,0.1693,0.169407009890382
0.29888,21.66705,0.1633,0.1634294037191594
0.12376,19.4023,0.1022,0.1025152915422865
0.31288,21.63085,0.14295,0.1430758802174566
0.30915,21.83605,0.15525,0.1553667676821526
0.21163,20.6247,0.1276,0.1279744310399542
0.21457,20.8217,0.1308,0.1311218517257897
